"cas_palu_confirme","tempmax_mean","tempmin_mean","temp_mean","feelslikemax_mean","feelslikemin_mean","feelslike_mean","dew_mean","humidity_mean","precip_mean","precipprob_mean","precipcover_mean","snowdepth_mean","windgust_mean","windspeed_mean","winddir_mean","sealevelpressure_mean","cloudcover_mean","solarradiation_mean","solarenergy_mean","uvindex_mean","moonphase_mean","tempmax_max","tempmin_max","temp_max","feelslikemax_max","feelslikemin_max","feelslike_max","dew_max","humidity_max","precip_max","precipprob_max","precipcover_max","snowdepth_max","windgust_max","windspeed_max","winddir_max","sealevelpressure_max","cloudcover_max","solarradiation_max","solarenergy_max","uvindex_max","moonphase_max","tempmax_min","tempmin_min","temp_min","feelslikemax_min","feelslikemin_min","feelslike_min","dew_min","humidity_min","precip_min","precipprob_min","precipcover_min","windgust_min","windspeed_min","winddir_min","sealevelpressure_min","cloudcover_min","solarradiation_min","solarenergy_min","uvindex_min","moonphase_min","mean_night_duration","VHI_mean","VCI_mean","TCI_mean"
102,34.7375,19.2,26.85,33.3375,19.2,26.0625,7.675,31.8375,0,0,0,0,29,13.4375,101.5,1011.775,59.9625,230.0125,19.2125,7.75,0.60375,36.1,21.2,28.7,35.4,21.2,27.6,12.8,41.5,0,0,0,0,33.8,16.3,329.3,1013.2,90.8,294.7,20.5,8,0.81,31.9,17.3,25.7,29.9,17.3,24.9,5.3,24.4,0,0,0,19.8,8.6,8.2,1010.2,23.1,189.5,16.3,7,0.45,1620,43.295433383277,48.4588979009426,38.1318780734081
181,35.0285714285714,17.3,26.3571428571429,34.0285714285714,17.3,25.5428571428571,6.37142857142857,29.7714285714286,0,0,0,0,29.6714285714286,15.6285714285714,108.714285714286,1012.54285714286,34.6428571428571,240.357142857143,20.7571428571429,8.42857142857143,0.818571428571429,36,19,26.9,37.4,19,26.2,7.9,33.8,0,0,0,0,34.6,22.3,354.8,1013.6,54.5,248.1,21.4,9,0.91,33.9,16.3,25.7,32.2,16.3,24.8,5.1,27.1,0,0,0,19.8,10.1,50.1,1011.1,16.7,232.1,20,8,0.75,1440,43.9512616473015,47.5191201982474,40.3834436728497
155,34.3,17.3857142857143,25.8714285714286,32.2,17.3857142857143,25.0285714285714,5.7,29.0571428571429,0,0,0,0,26.9,14.8285714285714,135.142857142857,1011.91428571429,21.4142857142857,244.457142857143,21.1571428571429,8.85714285714286,0.332857142857143,37,19.2,27,34.4,19.2,26,6.6,31.8,0,0,0,0,32.8,18.4,346.2,1013.1,29,248.1,21.4,9,0.98,32,16.3,24.3,30.1,16.3,23.7,4.4,24.6,0,0,0,18,11.2,31.1,1010.8,13,240,20.8,8,0,1440,48.9186757087707,47.5462919403808,50.2907060880854
127,35.1142857142857,18.8285714285714,27.0571428571429,33.2571428571429,18.8285714285714,26.1285714285714,5.18571428571429,26.3428571428571,0,0,0,0,28.2285714285714,13.9571428571429,83.5,1010.05714285714,53.2857142857143,241.114285714286,20.8571428571429,8.57142857142857,0.29,36.3,20.6,28.1,35.7,20.6,27,7.8,32.3,0,0,0,0,33.1,18.5,189.5,1011.2,91.5,252.2,21.8,9,0.39,34,17.6,26.3,31.6,17.6,25.4,3,22.2,0,0,0,22.3,9.9,51.9,1009.1,12.4,202.5,17.5,7,0.19,1440,48.542786819405,49.0957768242166,47.9901202849667
109,34.7285714285714,21.3285714285714,27.9714285714286,33.4142857142857,21.3285714285714,27.1571428571429,7.98571428571429,29.9285714285714,0,0,0,0,24.4142857142857,11.7571428571429,236.728571428571,1009.1,76.5857142857143,224.771428571429,19.4142857142857,8,0.53,37.1,23.6,29.1,35.4,23.6,28.2,9.7,31.9,0,0,0,0,28.4,13.7,316.8,1010,87.5,244.9,21.1,9,0.63,31.1,19.8,26.5,29.1,19.8,25.8,6.3,26.7,0,0,0,19.4,11.2,50.9,1007.5,49.6,202.5,17.6,7,0.43,1440,50.4798574731808,48.8505748237624,52.1089687726714
100,34.2571428571429,21.2857142857143,27.6142857142857,32.2285714285714,21.2857142857143,26.7571428571429,6.57142857142857,27.5285714285714,0,0,0,0,30.5428571428571,14.6714285714286,33.4,1010.72857142857,55.2,227.985714285714,19.6285714285714,8.14285714285714,0.761428571428571,36,23.8,28.9,34.1,23.8,28.2,11.9,36.4,0,0,0,0,34.9,16.9,59.5,1011.9,98.3,257.8,22.1,9,0.86,32.5,19.7,26.9,30.8,19.7,26,3,21.7,0,0,0,26.3,12.3,10.4,1009.4,18.1,120.9,10.4,4,0.66,1440,55.9588877006011,51.7895040551821,60.1279382385389
119,37.6857142857143,20.8142857142857,29.4714285714286,35.6285714285714,20.8142857142857,28.2857142857143,4.15714285714286,20.9428571428571,0,0,0,0,28.8857142857143,14.2,84.5285714285714,1009.97142857143,20.6142857142857,265.114285714286,22.9285714285714,9,0.42,39.4,21.4,30.5,37.9,21.4,29.3,6.6,24.2,0,0,0,0,37.4,17.6,272.8,1011.3,46.6,269.8,23.3,9,0.96,34.6,20.1,27.8,32.3,20.1,26.7,1.6,18.8,0,0,0,19.8,11.5,9.3,1007,11.7,260.5,22.5,9,0,1440,59.3103826554135,56.8763827921164,61.7444736959958
98,37.3857142857143,24.1571428571429,30.5428571428571,36.7,24.1571428571429,30.0428571428571,13.1571428571429,36.3857142857143,0,0,0,0,33.9428571428571,16.1857142857143,278.8,1007.75714285714,52.9857142857143,257.942857142857,22.3428571428571,9,0.23,38.8,25.7,31.1,38.6,25.7,30.5,14.8,42.2,0,0,0,0,45,21.2,284.5,1010.5,90.1,268.1,23.2,9,0.34,34.1,22.3,29.3,33.7,22.3,29.1,11.4,32.2,0,0,0,26.6,14,270.3,1006.1,6.8,240.2,20.8,9,0.13,1440,57.5089684331056,58.8909281481396,56.1270898837634
98,39.9,25.7,32.6571428571429,40.3428571428571,25.5428571428571,32.1428571428571,13.3285714285714,32.7142857142857,0,0,0,0,29.8714285714286,13.0571428571429,269.314285714286,1009.57142857143,57.2,272.628571428571,23.5428571428571,9.14285714285714,0.478571428571429,43,28.4,34.9,45.1,27.5,34.4,15,40.6,0,0,0,0,37.4,17.6,347.2,1011,88.2,283.4,24.6,10,0.58,36.9,24,30.5,37.7,24,30.3,11.7,27.7,0,0,0,22.3,9.7,39.2,1007.8,21.1,260.2,22.4,9,0.38,1440,56.5432210222639,62.0218371978914,51.0646050898716
54,41.4857142857143,25.9714285714286,33.3857142857143,40.9428571428571,26.1428571428571,32.7571428571429,12.1,30.0571428571429,0,0,0,0,31.7857142857143,16.5,308.3,1008.92857142857,20.3714285714286,286.8,24.7714285714286,10,0.71,43,27,33.9,43.4,28.2,33.8,14.6,35.7,0,0,0,0,34.6,18.6,353.3,1010.3,30.3,293.7,25.5,10,0.81,40.3,24.8,33.1,39,24.8,31.8,7.7,22.4,0,0,0,29.9,14.6,268.4,1007.8,12.1,281.2,24.2,10,0.61,1440,55.0294836080436,63.7097665813234,46.3489283743531
59,40.8142857142857,27.1285714285714,33.4142857142857,40.6285714285714,27.3571428571429,33.0285714285714,13.5714285714286,32.5714285714286,0,0,0,0,38.2142857142857,18.5428571428571,238.271428571429,1008.28571428571,32.0142857142857,287.2,24.8428571428571,9.85714285714286,0.648571428571429,42,28.9,34.3,43.4,29.1,34.8,16.7,37.4,0,0,0,0,46.8,22.3,304.1,1009.5,48.9,294.5,25.5,10,0.97,39.6,26,32.6,38.6,26,31.7,9.4,25,0,0,0,28.1,12.3,6.4,1007.4,18.2,269.6,23.3,9,0,1440,53.6648371824712,64.0177462343014,43.3123425716102
43,39.1857142857143,25.9428571428571,32.7,37.4142857142857,25.8,31.1428571428571,6.7,21.6428571428571,0,0,0,0,33.0142857142857,15.4571428571429,163.514285714286,1008.71428571429,45.0571428571429,301.657142857143,26.0142857142857,10,0.177142857142857,41,27,34,39.9,27.1,32.6,12.1,29.9,0,0,0,0,39.6,22.3,340.6,1010.1,62.7,311.1,26.9,10,0.28,37,24.4,31.2,34.6,24.4,29.6,1.6,15.5,0,0,0,24.8,9.9,29,1007.2,27.2,293.7,25.3,10,0.07,1431.42857142857,52.9202007899983,63.7801905794577,42.0600395312213
114,40.3714285714286,26.1285714285714,33.4857142857143,38.5285714285714,25.9285714285714,32.1,7.61428571428571,22.4428571428571,0,0,0,0,30.8,15.2,163.142857142857,1008.1,37.3857142857143,298.471428571429,25.7857142857143,10,0.427142857142857,42,28.6,34.4,40.9,27.7,34.2,14.8,33,0,0,0,0,45.4,22.3,331.8,1009.7,61.5,308.2,26.6,10,0.53,39,24.1,32.7,36.4,24.1,30.6,1.9,15,0,0,0,22.7,9.7,12.3,1006.5,15.5,279.3,24.2,10,0.32,1440,51.1942312774032,63.5256047723269,38.8627870814969
42,41.3142857142857,28.1714285714286,34.4285714285714,40.6,28.2142857142857,33.9285714285714,13.2285714285714,29.7285714285714,0,0,0,0,41.2714285714286,18.3571428571429,272.071428571429,1005.88571428571,33.5714285714286,275.842857142857,23.9,9.28571428571429,0.658571428571429,42.4,29,35.8,42,29.4,35.5,18,40.8,0,0,0,0,49.3,22.7,308.8,1008.2,58.7,307.4,26.6,10,0.75,39,27,33.5,38.9,26.6,32.4,7.7,20.7,0,0,0,29.5,11.2,249.1,1004.3,18.2,148.3,12.7,5,0.56,1440,50.1654232306312,64.2195441815588,36.1111104021169
25,39.8857142857143,26.6,33.0428571428571,38.8142857142857,26.8428571428571,32.3857142857143,11.6571428571429,30,0.0294285714285714,14.2857142857143,0.595714285714286,0,31.7285714285714,14.2142857142857,247.042857142857,1009.38571428571,55.0714285714286,287.785714285714,24.8428571428571,9.71428571428571,0.884285714285714,41,28,33.7,41.7,28.4,34.1,17.8,43.5,0.206,100,4.17,0,35.6,18.4,321,1010.8,74.5,311.7,26.9,10,0.98,37.7,25,32.3,37.3,25,30.9,4.7,17.9,0,0,0,27.7,12.3,17.9,1008.5,32.7,222.5,19.3,9,0.79,1440,47.5435544833992,67.9600491658606,27.1262216487316
40,41.1857142857143,27.0285714285714,33.7857142857143,40.0571428571429,26.5857142857143,32.9,11.7714285714286,28.3714285714286,0,0,0,0,33.7285714285714,15.1857142857143,256.085714285714,1009.35714285714,19.1428571428571,311.585714285714,26.8285714285714,10,0.122857142857143,42.6,28.7,34.7,41.6,27.5,33.8,14.1,32.9,0,0,0,0,38.5,18.4,325.5,1010.5,43.6,314.7,27.1,10,0.25,39.6,25.7,32.7,39.7,25.7,32.2,8.4,21.3,0,0,0,24.8,10.8,9.6,1008.2,9.6,308.6,26.5,10,0,1440,43.7595040870435,68.9191905850112,18.6001410046611
88,41.6285714285714,27.9,34.7142857142857,41.8857142857143,27.9142857142857,34.0857142857143,13.0571428571429,28.8428571428571,0,0,0,0,35.8857142857143,17.4714285714286,292.771428571429,1008.77142857143,44.4285714285714,292.657142857143,25.2285714285714,9.57142857142857,0.372857142857143,43.2,29.3,35.8,43.9,28.9,34.7,15.3,34.5,0,0,0,0,40.3,21.6,334.1,1009.8,82.3,310.7,26.8,10,0.48,39.1,26.8,33.4,39.5,26.8,33.1,11.1,23.6,0,0,0,26.6,11.9,268.8,1007.9,17.3,230.7,19.8,8,0.27,1440,41.9521708132041,67.1736854755517,16.7305551961215
24,41.7857142857143,27.1428571428571,34.4,42.0142857142857,27.0285714285714,33.6857142857143,12.4714285714286,28.5571428571429,0,0,0,0,35.2285714285714,17.1714285714286,288.828571428571,1008.61428571429,49.0142857142857,312.985714285714,27.0428571428571,10,0.61,42.9,28,35,44.6,28.1,34,15.8,35.9,0,0,0,0,46.4,23,325.3,1009.2,72.1,317.2,27.4,10,0.71,40.1,25.2,33.7,40.9,25.2,33.4,9.3,21.9,0,0,0,28.4,11.2,267.9,1007.8,21.7,307.3,26.7,10,0.5,1440,40.0452415870898,62.9218673147336,17.1687673122594
6,41.2857142857143,28.6428571428571,34.9714285714286,42.4142857142857,28.7428571428571,34.8428571428571,14.6571428571429,30.9285714285714,0.0735714285714286,14.2857142857143,0.595714285714286,0,40.7285714285714,19.6,260.6,1008.37142857143,49.9428571428571,304.957142857143,26.3571428571429,9.85714285714286,0.835714285714286,43,29.7,35.8,45.8,29.8,36.8,16.6,32.6,0.515,100,4.17,0,48.6,23.8,284.2,1009.8,80.4,316.3,27.3,10,0.94,40,27.8,34.2,40.7,27.8,33.9,13.9,29.1,0,0,0,26.6,11.2,185.1,1007.1,23.4,283.7,24.6,9,0.74,1440,35.9296659341966,55.1876150422626,16.6717370284928
9,40.1428571428571,28.5,34.5571428571429,41.1571428571429,29.8142857142857,35.4285714285714,17.1714285714286,37.4,0.536714285714286,28.5714285714286,1.19142857142857,0,37.7,18.3714285714286,257.257142857143,1008.35714285714,47.7285714285714,298.628571428571,25.8142857142857,9.85714285714286,0.215714285714286,41,30.6,36,42.7,33.1,37.7,18.4,39.9,3.397,100,4.17,0,42.1,19.8,271.5,1009.1,66.6,308.7,26.9,10,0.97,38.4,27,33.5,39.2,28,34,15.3,33.1,0,0,0,35.3,16.9,248.6,1007.8,35.2,286.9,24.7,9,0,1440,31.4544235372784,44.1155848963092,18.7929490997334
6,41.2,29.2142857142857,35.4428571428571,41.6,29.3428571428571,35.5571428571429,15.3714285714286,32.1571428571429,0.285714285714286,14.2857142857143,0.595714285714286,0,42.9857142857143,21.5285714285714,264.514285714286,1008.32857142857,36.8714285714286,301.657142857143,26.0857142857143,10,0.318571428571429,43.2,31,37.1,43.3,31.4,36.4,17.9,38.3,2,100,4.17,0,46.4,23,279.3,1009.3,61.2,310.3,26.9,10,0.43,39.9,28,34.4,40.4,28.5,34.6,13.1,26.1,0,0,0,38.2,19.1,243.5,1007.4,19.6,286.4,24.5,10,0.21,1440,30.1093932488952,34.8878477483085,25.3308479552317
2,39.4142857142857,27.9285714285714,33.8857142857143,42.6,29.7285714285714,36.6142857142857,20.1571428571429,46.4,0.150285714285714,57.1428571428571,2.97714285714286,0,36.0571428571429,20.4857142857143,250.6,1010.17142857143,57.9142857142857,277.785714285714,23.9857142857143,9.57142857142857,0.562857142857143,41,29.6,35,44.1,32.7,38.3,21.4,52.1,0.5,100,8.33,0,41.8,33.5,264.9,1011.7,84.7,294.8,25.6,10,0.66,38.6,26.3,32.9,41.4,26.3,35.1,16.3,34.5,0,0,0,28.8,13.3,234.1,1009.5,32.3,253,21.8,9,0.46,1440,28.3696154933385,29.5547367374704,27.1842317262683
18,36.5857142857143,26.4285714285714,31.4571428571429,40.8571428571429,28.1428571428571,34.9571428571429,22.3428571428571,60.5,11.5388571428571,57.1428571428571,4.76285714285714,0,37.8,18.3428571428571,250.485714285714,1011.34285714286,75.0714285714286,259.485714285714,22.4285714285714,8.71428571428571,0.791428571428571,38.7,28.3,33.7,44.7,31.5,37.8,23.2,68,53.589,100,16.67,0,45.7,22.7,264.4,1012.7,95.8,296.8,25.7,10,0.89,33.2,24.1,29.2,37.7,24.1,31.7,21.6,52.4,0,0,0,27.4,14.8,212,1010.3,39.4,193.5,16.6,7,0.69,1440,25.3572923680147,25.432898387343,25.2815045303769
8,36.3428571428571,26.2,30.9285714285714,40.2142857142857,27.3142857142857,34.1285714285714,22.3285714285714,62.6714285714286,3.36342857142857,71.4285714285714,5.95285714285714,0,39.6,20.5714285714286,248.328571428571,1011.98571428571,64.2714285714286,257.971428571429,22.3571428571429,8.42857142857143,0.311428571428571,38.3,27.7,32.6,43.4,30.7,35.8,23.5,80.3,14,100,12.5,0,49.7,25.9,266.1,1014,93.9,296.7,25.7,10,0.96,30.3,24,26.9,34,24,28.5,21.2,53.1,0,0,0,32,14.4,229.5,1009.8,50.6,127.1,11,4,0,1440,26.1674337471374,23.4946661418436,28.8401407992599
33,35.3857142857143,27.2142857142857,31.0428571428571,39.4857142857143,28.8428571428571,34,21.3714285714286,57.4714285714286,0.257142857142857,28.5714285714286,2.38,0,44.3428571428571,20.8,256.4,1011.81428571429,64.2714285714286,270.6,23.4428571428571,8.71428571428571,0.27,37.3,28,32.1,42.3,30.6,35.7,22.2,61.4,1.2,100,8.33,0,54.7,26.6,263.9,1013.8,92.6,292.4,25.4,10,0.37,32.9,26,29.9,36.2,26,32.3,20,53.8,0,0,0,36,17.6,250.3,1010.8,32.6,229.4,19.9,7,0.16,1440,27.4277872816782,22.235676244985,32.6199387276413
29,33.0285714285714,24.2571428571429,28.6714285714286,40.2857142857143,24.7,31.9714285714286,23.3142857142857,73.9714285714286,12.1794285714286,85.7142857142857,7.73857142857143,0,33.8,15.6857142857143,241.928571428571,1010.48571428571,75.5285714285714,219.757142857143,18.9,7.42857142857143,0.508571428571429,35.6,27,30.6,44.1,30.1,35.9,24.3,83.2,60.058,100,12.5,0,43.2,23,286.2,1012.7,94.3,279.6,24,9,0.61,29.7,21.9,25.7,34.6,21.9,26.7,22.5,67.9,0,0,0,18,7.6,158.1,1008.7,50.1,140.4,12.1,5,0.41,1440,28.4918377736,20.4166258242395,36.5667265686122
95,31.5857142857143,23.5714285714286,27.5142857142857,37.2142857142857,23.5714285714286,29.9714285714286,23.3571428571429,79.1142857142857,9.35157142857143,100,11.3085714285714,0,28.4428571428571,13.4285714285714,239.785714285714,1011.94285714286,78.6142857142857,197.171428571429,16.9428571428571,6.85714285714286,0.74,33.8,25,28.8,40.6,25,32.5,24,85.3,22.191,100,25,0,32,17.3,294.3,1013.1,98.1,276.2,23.9,9,0.85,28.8,22.7,25.7,31.6,22.7,27,22.5,74.5,1.456,100,4.17,22.7,10.4,137,1010.1,48.4,79,6.7,3,0.64,1440,31.2938174705313,21.7841611265835,40.8035952288695
179,31.9428571428571,24.8857142857143,28.1,38.2428571428571,24.8857142857143,31.2285714285714,23.8714285714286,78.7,3.69342857142857,85.7142857142857,9.52428571428571,0,31.8285714285714,15.0285714285714,247.157142857143,1012.97142857143,73.4,217.885714285714,18.7428571428571,7,0.55,34.8,26,29.3,42.6,26,34,24.8,83.7,12.779,100,29.17,0,43.6,21.6,277,1013.8,94.8,291.4,25.2,9,0.98,27.9,23.9,26,32.5,23.9,26.6,22.4,73.8,0,0,0,20.9,9.9,190.3,1011.6,55.1,133.8,11.5,5,0,1440,32.3559689793924,25.6407873153084,39.071120529825
278,31.9,23.9285714285714,27.4285714285714,37.9142857142857,23.9285714285714,30.0142857142857,23.7714285714286,81.3,16.2118571428571,100,11.9042857142857,0,29.6285714285714,14.9714285714286,229.814285714286,1011.87142857143,86.6428571428571,181.414285714286,15.6428571428571,6.71428571428571,0.22,34,26.7,29.8,40.6,26.7,33.9,24,84.4,49.089,100,25,0,41.4,18.7,269.7,1012.7,92.9,207.6,17.9,8,0.32,29.9,22.3,26.5,35.8,22.3,28.4,23.5,71.9,3.2,100,4.17,21.6,9.9,142.6,1011.2,68.5,114.1,9.9,5,0.11,1440,32.4319185090787,28.1761711519174,36.6877468557069
